timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220101T0000,9.060529,0.275
20220101T0100,8.900529,0.275
20220101T0200,8.740529,0.275
20220101T0300,8.290529,0.275
20220101T0400,7.9805284,0.275
20220101T0500,7.4105287,0.275
20220101T0600,6.9405284,0.275
20220101T0700,6.3805285,0.275
20220101T0800,5.8405285,0.275
20220101T0900,6.0705285,0.274
20220101T1000,7.9105287,0.274
20220101T1100,10.280529,0.274
20220101T1200,11.510529,0.246
20220101T1300,12.910529,0.246
20220101T1400,13.560529,0.246
20220101T1500,13.080529,0.246
20220101T1600,12.130529,0.246
20220101T1700,9.540529,0.246
20220101T1800,7.9305286,0.246
20220101T1900,7.1705284,0.246
20220101T2000,7.0205283,0.246
20220101T2100,7.6405287,0.246
20220101T2200,8.490529,0.246
20220101T2300,8.780529,0.246
20220102T0000,8.600529,0.246
20220102T0100,8.200529,0.246
20220102T0200,8.350529,0.246
20220102T0300,8.010529,0.246
20220102T0400,7.6305285,0.245
20220102T0500,7.1205287,0.245
20220102T0600,7.0005283,0.245
20220102T0700,6.3905287,0.245
20220102T0800,6.6005287,0.245
20220102T0900,7.5105286,0.245
20220102T1000,8.330529,0.245
20220102T1100,10.280529,0.245
20220102T1200,11.480529,0.275
20220102T1300,13.360529,0.275
20220102T1400,16.270529,0.275
20220102T1500,15.970529,0.275
20220102T1600,14.760529,0.275
20220102T1700,13.320529,0.275
20220102T1800,12.510529,0.275
20220102T1900,12.340529,0.275
20220102T2000,12.190529,0.275
20220102T2100,11.910529,0.275
20220102T2200,11.740529,0.275
20220102T2300,11.590529,0.274
20220103T0000,11.750529,0.274
20220103T0100,11.570529,0.274
20220103T0200,11.210529,0.274
20220103T0300,10.580529,0.274
20220103T0400,10.530529,0.274
20220103T0500,10.3005295,0.274
20220103T0600,10.090529,0.274
20220103T0700,9.5505295,0.274
20220103T0800,9.530529,0.274
20220103T0900,10.600529,0.274
20220103T1000,11.530529,0.273
20220103T1100,12.040529,0.273
20220103T1200,12.930529,0.269
20220103T1300,13.220529,0.268
20220103T1400,13.120529,0.268
20220103T1500,12.630529,0.267
20220103T1600,11.580529,0.267
20220103T1700,11.440529,0.267
